Artist,Song Name,Album Release Year,URL
Oasis,Stand by Me - Remastered,1997,https://open.spotify.com/track/3Mitz1jYppBNT258IJNLYE
Simon & Garfunkel,Cecilia,1970,https://open.spotify.com/track/6QhXQOpyYvbpdbyjgAqKdY
The Rolling Stones,Angie - Remastered 2009,1973,https://open.spotify.com/track/1GcVa4jFySlun4jLSuMhiq
Louis Prima,Just A Gigolo - Remastered,1956,https://open.spotify.com/track/6lYeYgSkWh6TZDQy6YZuvG
Max Coveri,RUNNING IN THE 90'S,1998,https://open.spotify.com/track/6DlPa2rrVK3BygXJ48WYo3
Adriano Celentano,Prisencolinensinainciusol,1972,https://open.spotify.com/track/0HQf0bd3oSZei450iKuUFR
"Rufus, Chaka Khan",Ain't Nobody,1983,https://open.spotify.com/track/53Za5vyGc1x7GxgJVRjRKc
Justice,Genesis,2007,https://open.spotify.com/track/4wSmqFg31t6LsQWtzYAJob
Fleetwood Mac,Everywhere - 2017 Remaster,1987,https://open.spotify.com/track/254bXAqt3zP6P50BdQvEsq
Billy Joel,My Life,1978,https://open.spotify.com/track/4ZoBC5MhSEzuknIgAkBaoT
Red Hot Chili Peppers,Otherside,1999,https://open.spotify.com/track/64BbK9SFKH2jk86U3dGj2P
Green Day,Boulevard of Broken Dreams,2004,https://open.spotify.com/track/0U87auHx1iZTEFcq9KVdmO
Apache Indian,Boom Shack-A-Lak,1993,https://open.spotify.com/track/5rYJbmPYDaC4yJ8toRSrof
Journey,Separate Ways (Worlds Apart) [2023 Remaster],1983,https://open.spotify.com/track/1pTw2cNrp9L3esxLAvWnN2
Shakira,Antología,1995,https://open.spotify.com/track/0KAqMRUSZwzG3dZLdDA4eH
Taylor Swift,I Knew You Were Trouble.,2012,https://open.spotify.com/track/72jCZdH0Lhg93z6Z4hBjgj
"Fergie, YG",L.A.LOVE (la la) (feat. YG),2014,https://open.spotify.com/track/746BlfyY0hVG65EtfaNvwo
Laufey,Falling Behind,2022,https://open.spotify.com/track/4KGGeE7RJsgLNZmnxGFlOj
Djo,End of Beginning,2022,https://open.spotify.com/track/3qhlB30KknSejmIvZZLjOD
Shaboozey,A Bar Song (Tipsy),2024,https://open.spotify.com/track/5fZJQrFKWQLb7FpJXZ1g7K
Michael Jackson,Off the Wall,1979,https://open.spotify.com/track/3zYpRGnnoegSpt3SguSo3W
Paramore,Still into You,2013,https://open.spotify.com/track/1yjY7rpaAQvKwpdUliHx0d
Fontella Bass,Rescue Me,1965,https://open.spotify.com/track/1GY8zOFi8rC39xXnD0tKO8
Eddie Floyd,Knock on Wood,1966,https://open.spotify.com/track/3YJx77Xx8JSwEoxqrkQO5c
Solomon Burke,Cry to Me,1962,https://open.spotify.com/track/0sDeU2murnLh4yVHQ5IV70
Etta James,I'd Rather Go Blind,1968,https://open.spotify.com/track/1kPBT8S2wJFNAyBMnGVZgL
The Supremes,Where Did Our Love Go,1964,https://open.spotify.com/track/69RH84na5iUNwrwxpgjC5j
HOFFMAESTRO,Highway Man,2008,https://open.spotify.com/track/6jPggfBgf9SFe1Ae4HTBxA
Oskar Linnros,25,2010,https://open.spotify.com/track/2I2FmTU2bArpAI8QGThvkA
Bo Kaspers Orkester,I samma bil,2006,https://open.spotify.com/track/4mXbdi4t6te7fmrDV3hKds
The Ark,It Takes A Fool To Remain Sane,2000,https://open.spotify.com/track/5S8EZuiSNFR2N5eG58oISQ
The Notorious B.I.G.,Hypnotize - 2014 Remaster,1997,https://open.spotify.com/track/7KwZNVEaqikRSBSpyhXK2j
Dominic Fike,Babydoll,2018,https://open.spotify.com/track/7yNf9YjeO5JXUE3JEBgnYc
AC/DC,You Shook Me All Night Long,1980,https://open.spotify.com/track/2SiXAy7TuUkycRVbbWDEpo
Creedence Clearwater Revival,Bad Moon Rising,1969,https://open.spotify.com/track/20OFwXhEXf12DzwXmaV7fj
Huey Lewis & The News,The Power Of Love,1985,https://open.spotify.com/track/2olVm1lHicpveMAo4AUDRB
blink-182,All The Small Things,1999,https://open.spotify.com/track/2m1hi0nfMR9vdGC8UcrnwU
The Outfield,Your Love,1985,https://open.spotify.com/track/0WoFs3EdGOx58yX5BtXvOa
Queen,Killer Queen - Remastered 2011,1974,https://open.spotify.com/track/4cIPLtg1avt2Jm3ne9S1zy
R.E.M.,Everybody Hurts,1992,https://open.spotify.com/track/6PypGyiu0Y2lCDBN1XZEnP
The Clash,Rock the Casbah - Remastered,1982,https://open.spotify.com/track/56KqaFSGTb7ifpt16t5Y1N
Jet,Are You Gonna Be My Girl,2003,https://open.spotify.com/track/72zZfHPYx43shcP3eKkYi5
David Bowie,Changes - 2015 Remaster,1971,https://open.spotify.com/track/0LrwgdLsFaWh9VXIjBRe8t
The Killers,When You Were Young,2006,https://open.spotify.com/track/70wYA8oYHoMzhRRkARoMhU
Two Door Cinema Club,Undercover Martyn,2010,https://open.spotify.com/track/6GQLX6Z28fYwDNCrhaKzYF
Phoenix,Lisztomania,2009,https://open.spotify.com/track/4esUVfYnFcCCVHntx9FQCb
The Naked And Famous,Young Blood,2010,https://open.spotify.com/track/25nzKGDiua1lE9Qo5V19GL
Otto Knows,Next to Me,2015,https://open.spotify.com/track/6ZixfeFT8V0Nle1rMZAekY
Alex Warren,Ordinary,2024,https://open.spotify.com/track/2RkZ5LkEzeHGRsmDqKwmaJ
"Justin Bieber, Chance the Rapper",Confident,2013,https://open.spotify.com/track/3JsydWaf2Ev4ehaLUjj3SY
Myles Smith,Stargazing,2024,https://open.spotify.com/track/5d3yDjhsVPibfJcAih0bQZ
WALK THE MOON,Shut Up and Dance,2014,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Golden,2025,https://open.spotify.com/track/1CPZ5BxNNd0n0nF4Orb9JS
Sabrina Carpenter,Feels Like Loneliness,2016,https://open.spotify.com/track/0QTOY1FBKwC7jA33N8cLSi
"Shakira, Rihanna",Can't Remember to Forget You (feat. Rihanna),2014,https://open.spotify.com/track/7o1Pm9jpH0wFpN5g793Lnq
Maroon 5,Hideaway,2025,https://open.spotify.com/track/2FUweZZx9KpZke9m5GNZM8
Imagine Dragons,Whatever It Takes,2017,https://open.spotify.com/track/6Qn5zhYkTa37e91HC1D7lb
Basshunter,Boten Anna - Radio edit,2006,https://open.spotify.com/track/4rino0wsmUcK36Ro4CCrke
Jamiroquai,Virtual Insanity - Remastered 2006,1996,https://open.spotify.com/track/4UQDZlZhGUDoYMohwrY28v
Natalie Imbruglia,Torn,1997,https://open.spotify.com/track/1Jaah2tmN9Hv81A87KZ1MU
Fatboy Slim,Praise You (Radio Edit),1998,https://open.spotify.com/track/1j8GQQGyC26O1TeW4LLvjk
Rick James,Give It To Me Baby,1981,https://open.spotify.com/track/13v3siPyvy5TTEZYmGPPse
Carl Carlton,"She's A Bad Mama Jama (She's Built, She's Stacked) - Single Version",1981,https://open.spotify.com/track/2R0zbd80CqwoB0ORDCqDoK
Kool & The Gang,Get Down On It - Single Version,1981,https://open.spotify.com/track/4yKZACkuudvfd600H2dQie
Daryl Hall & John Oates,Out of Touch,1984,https://open.spotify.com/track/4LI7LqBRuXxLyEZ2fCQnit
Curtis Mayfield,Move On Up,1970,https://open.spotify.com/track/2cK7SJ2O3CqDRHeixvFKgh
The Spinners,The Rubberband Man - Edit,1976,https://open.spotify.com/track/2mwgnW732vNb2bT0Ai7OYc
"LMFAO, Lauren Bennett, GoonRock",Party Rock Anthem,2011,https://open.spotify.com/track/4650WGL6InVqP7YN5POqIz
Nicki Minaj,The Night Is Still Young,2015,https://open.spotify.com/track/75u9uswC5UMdtv4SQ3xSYf
Bruno Mars,Treasure,2012,https://open.spotify.com/track/4G2Hbfwvn3oH7LxxPXjjGn
Taylor Swift,We Are Never Ever Getting Back Together,2012,https://open.spotify.com/track/0VwNdo84DaVYLIkbVO86ND
"Timbaland, Keri Hilson, D.O.E.",The Way I Are,2007,https://open.spotify.com/track/5RM4iGrNOyeKLTcMv2FPc9
Avril Lavigne,Sk8er Boi,2002,https://open.spotify.com/track/00Mb3DuaIH1kjrwOku9CGU
"Jessie J, B.o.B",Price Tag,2011,https://open.spotify.com/track/2fTsFCKRFQ5M0igJgabnLA
Charli xcx,Boom Clap,2014,https://open.spotify.com/track/094RugjgLW6CdPLOJctBZ3
Michael Jackson,P.Y.T. (Pretty Young Thing),1982,https://open.spotify.com/track/1CgmY8fVN7kstVDZmsdM5k
Lionel Richie,"Say You, Say Me",1985,https://open.spotify.com/track/17CPezzLWzvGfpZW6X8XT0
Big Mountain,"Baby, I Love Your Way",1994,https://open.spotify.com/track/2le9fblYnfoLr9dkZIsJUa
Alicia Keys,If I Ain't Got You,2003,https://open.spotify.com/track/3XVBdLihbNbxUwZosxcGuJ
Genesis,Invisible Touch - 2007 Remaster,1986,https://open.spotify.com/track/0xpBr84T3FTm9j4D1MdPtk
The Beach Boys,California Dreamin' - Remastered 2007,1986,https://open.spotify.com/track/4MHzXgBy7hexDe2Bto11hP
Carpenters,Top Of The World,1972,https://open.spotify.com/track/1Ehdm1PDlKrdfyBsjwEvd1
ABBA,Angeleyes,1979,https://open.spotify.com/track/7rWgGyRK7RAqAAXy4bLft9
The Shadows,Foot Tapper,1963,https://open.spotify.com/track/5n6rR4BsS7MImGKFdu1rIj
Chuck Berry,Johnny B. Goode,1958,https://open.spotify.com/track/2QfiRTz5Yc8DdShCxG1tB2
Dion,Runaround Sue,1961,https://open.spotify.com/track/1DndHckdH9m5rp6gYP086b
"Dolly Parton, Kenny Rogers",Islands in the Stream,1983,https://open.spotify.com/track/4mnOVRRXsaqg9Nb041xR8u
Sam Cooke,Bring It On Home to Me,1962,https://open.spotify.com/track/5EoYc5wvRYOtkudLfrjsL1
Ricky Nelson,Travelin' Man - Remastered,1961,https://open.spotify.com/track/1sM0yZDxUhPQhkDh2CLd6l
Bobby Darin,Beyond the Sea,1959,https://open.spotify.com/track/3KzgdYUlqV6TOG7JCmx2Wg
Sam & Dave,"Hold On, I'm Comin'",1966,https://open.spotify.com/track/6PgVDY8GTkxF3GmhVGPzoB
Billy Joel,We Didn't Start the Fire,1989,https://open.spotify.com/track/3Cx4yrFaX8CeHwBMReOWXI
Van Morrison,Brown Eyed Girl,1967,https://open.spotify.com/track/4CNL4GBNTdVIU5Nk6hB4LC
Aretha Franklin,Think,1968,https://open.spotify.com/track/4yQw7FR9lcvL6RHtegbJBh
Jay & The Americans,Come A Little Bit Closer,1964,https://open.spotify.com/track/0cLZ9ecuhocv99BICMb59O
Neil Young,Heart of Gold,1972,https://open.spotify.com/track/26QKxvjlCo2fSd3T4c8Zpb
Fats Domino,Ain't That A Shame,1955,https://open.spotify.com/track/4ZfQwNx3FlCN07cnUvekh3
Ray Charles,Hit the Road Jack,1961,https://open.spotify.com/track/5dUMh0ugelpKfoFp3qChuK
Phil Collins,Against All Odds (Take a Look at Me Now) - 2016 Remaster,1984,https://open.spotify.com/track/63CHa6rmamv9OsehkRD8oz
